Protein accession	Domains
>BAA13434.1 acetylesterase [Aspergillus awamori]	CE1
>AEP33618.1 feruloyl esterase B2 [Chrysosporium lucknowense]	CE1
>AAB62870.1 beta-glucosidase [Bacteroides fragilis 638R]	GH3
>AAM54070.1 1,4-beta-D-glucan-cellobiohydrolyase [Aspergillus nidulans]	GH7
>AAC18877.1 laccase [Agaricus bisporus]	AA1
>AAD30964.1 laccase 1 precursor [Coprinopsis cinerea]	AA1
>CAA43414.1 pectate lyase [Nicotiana tabacum]	PL1
>AEO61203.1 polysaccharide lyase family 1 protein [Myceliophthora thermophila ATCC 42464]	PL1
>AGN33443.1 UFGT1 [Allium cepa]	GT1
>AAC41436.1 cellulose synthase [Agrobacterium tumefaciens]	GT2
